cartodb_id,the_geom,date,profit,tax
2451,,2004-03-29,128000,3830
12190,,2008-07-15,290000,7250
15104,,2008-06-23,230000,6300
16030,,2008-04-08,230000,5500
2475,,2015-02-27,305360,5690
10906,,2012-05-11,305000,7350
15887,,2012-06-13,414000,5990
12909,,2006-06-29,675000,14250
14591,,2014-09-12,181000,4340
27,,2004-10-28,130000,3750
62,,2007-02-26,900500,18985
75,,2004-10-10,205000,5150
83,,2012-02-03,196500,4500
98,,2011-08-01,299000,7000
100,,2011-11-23,210000,4100
108,,2010-04-16,365000,6650
120,,2003-03-25,154000,3390
137,,2004-05-11,294990,4550
140,,2013-10-29,360000,5500
151,,2004-03-03,220000,6000
175,,2008-03-26,237500,4995
180,,2012-10-22,175000,3650
181,,2012-08-27,285000,4900
190,,2005-08-01,300500,8000
206,,2004-12-17,243200,5400
212,,2009-12-23,436000,6360
220,,2010-09-16,157228,3580
229,,2011-09-23,153000,4530
280,,2003-08-26,109000,2890
295,,2014-06-09,128000,3180
320,,2010-06-11,255000,5550
335,,2004-10-19,175475,3054.75
377,,2010-11-16,250596,6313.15
395,,2007-01-11,560000,7100
443,,2012-07-19,230000,4600
449,,2006-09-26,420000,7000
453,,2014-03-20,343500,5100
458,,2007-01-22,233900,7000
462,,2010-09-30,224000,5600
473,,2003-11-04,120000,2600
484,,2010-06-11,252090,3790
495,,2003-10-07,350000,6250
507,,2014-06-12,139000,3390
516,,2006-12-19,415000,10400
518,,2005-08-31,293000,6800
519,,2006-02-21,376564,9520.64
535,,2003-11-21,390000,6650
543,,2005-12-21,191800,5618
544,,2006-01-09,239950,6849.5
581,,2006-09-29,217400,5724
612,,2006-08-31,300000,6600
625,,2014-10-03,260000,4850
639,,2004-05-17,195000,4850
651,,2009-01-23,198450,4100
656,,2007-02-09,220000,5000
662,,2012-11-27,170000,3900
693,,2004-05-28,730000,15300
711,,2003-06-17,473000,7450
712,,2013-02-12,455000,7200
722,,2010-07-21,505000,7300
784,,2014-09-08,699500,12600
809,,2005-11-18,356000,5360
820,,2006-12-05,391000,9600
831,,2013-04-18,200000,3550
852,,2004-07-27,129100,3816
860,,2013-01-31,198500,4100
905,,2013-10-29,340000,5600
910,,2006-11-14,265000,5650
946,,2005-11-29,235500,5650
993,,2013-11-21,519000,7500
995,,2005-03-17,348000,5520
1008,,2010-06-28,403000,6450
1015,,2013-05-14,615000,10600
1078,,2011-04-12,647000,9000
1083,,2003-11-20,160000,4750
1087,,2005-08-03,350000,6500
1091,,2005-06-01,195000,4750
1093,,2010-12-15,3909250,70000
1133,,2010-08-05,240100,6201
1142,,2003-12-31,118000,3500
1157,,2012-02-22,248000,4600
1163,,2014-06-13,191000,4160
1167,,2007-01-23,303000,5830
1207,,2006-11-21,223000,5830
1224,,2011-05-11,257675,4315
1250,,2005-06-10,1970000,36200
1284,,2005-02-10,377500,6390
1294,,2004-12-31,175000,3500
1297,,2011-02-03,170010,4590
1312,,2006-12-15,539000,7390
1327,,2006-02-16,458000,6080
1329,,2008-10-24,258000,6800
1361,,2013-05-24,250000,5100
1374,,2006-07-28,180800,4558
1388,,2004-02-12,122000,2520
1392,,2013-07-12,199000,3790
1399,,2004-08-27,225000,6050
1414,,2005-01-12,422000,9270
1417,,2015-02-19,750000,14000
1420,,2008-03-31,340000,8500
1421,,2005-04-13,173767,3660.54
1433,,2007-12-28,330000,6700
1446,,2005-05-18,209999,4999.99
1467,,2010-04-14,167000,4720
1495,,2012-10-26,160000,3950
1501,,2013-10-24,240000,5100
1514,,2014-08-06,172000,2900
1517,,2013-09-09,219000,4270
1530,,2006-05-19,1199123,17000
1561,,2007-10-05,290000,5400
1572,,2004-09-13,282500,5525
1579,,2008-06-27,315000,7100
1613,,2013-11-26,270000,5900
1626,,2003-10-23,230000,4600
1662,,2012-04-02,162500,4675
1666,,2005-09-23,230000,6750
1667,,2013-04-23,255000,6400
1677,,2015-01-26,400000,8700
1689,,2008-09-18,278000,5600
1700,,2013-05-08,395000,7500
1752,,2013-06-14,284000,5690
1753,,2004-10-06,123600,3286
1796,,2005-07-19,780000,14000
1802,,2014-11-17,227000,4250
1803,,2004-06-02,135000,3750
1838,,2013-03-12,300000,6500
1885,,2004-01-05,145000,4320
1871,,2009-11-05,236400,4664
1876,,2006-06-02,330000,6550
1914,,2005-05-24,1000000,21500
1917,,2006-05-10,325000,6750
1918,,2014-10-23,205000,5800
1936,,2006-03-15,295000,8500
2018,,2011-05-12,190000,3700
2046,,2012-06-11,165000,3550
2065,,2005-03-30,725000,19250
2117,,2004-07-26,332000,6400
2119,,2005-01-31,290000,6200
2120,,2014-02-07,265000,7500
2121,,2014-04-30,540000,8000
2138,,2011-11-14,205000,5800
2142,,2013-10-24,338395,6850
2166,,2004-06-01,175500,3760
2174,,2013-07-08,258610,3906.1
2191,,2005-10-31,320000,6350
2301,,2013-12-03,125000,2300
2307,,2012-04-10,229000,4800
2312,,2003-04-21,154250,2950
2317,,2014-05-13,174000,2750
2364,,2004-07-02,165000,4250
2375,,2006-04-06,118899,2991.3
2376,,2010-05-20,160000,4500
2377,,2003-03-14,125000,3400
2387,,2012-12-05,153500,3635
2391,,2005-12-30,175000,3750
2401,,2014-04-16,800000,16500
2449,,2008-03-14,125000,3000
2450,,2014-05-21,680000,8600
2490,,2005-03-31,520000,9750
2526,,2012-06-13,453000,12830
2575,,2010-11-04,126500,3200
2579,,2006-11-20,278200,6032
2595,,2010-08-27,126000,2660
2597,,2010-10-12,144170,2491
2611,,2005-05-23,178000,3830
2627,,2004-04-14,134500,3445
2648,,2015-03-02,4750000,97500
2656,,2013-03-28,292000,4920
2675,,2011-12-06,170000,3950
2684,,2011-12-27,400000,5250
2694,,2015-02-11,550000,8050
2738,,2010-06-01,470000,8000
2875,,2007-11-14,310000,7900
2929,,2008-07-24,2950000,82500
2964,,2011-02-11,198500,4100
2984,,2014-02-14,200000,5800
3028,,2010-08-05,265100,6100
3048,,2013-06-20,255000,5050
3063,,2013-12-16,619160,10691.6
3066,,2011-01-06,199100,5141
3072,,2014-07-02,213000,5865
3084,,2012-03-16,122794,3550
